fold,label_fraction,split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
1,0.05,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
1,0.05,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
1,0.05,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
1,0.05,train_fraction,light,1,0.05,79,0.15520628683693516,0.10520628683693516
1,0.05,train_fraction,dark,4,0.2,132,0.2593320235756385,0.05933202357563849
1,0.05,train_fraction,unlabeled,8,0.4,169,0.3320235756385069,0.06797642436149315
1,0.05,train_fraction,medium,7,0.35,129,0.25343811394891946,0.09656188605108051
1,0.05,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
1,0.05,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
1,0.05,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
1,0.05,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
1,0.10,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
1,0.10,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
1,0.10,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
1,0.10,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
1,0.10,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
1,0.10,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
1,0.10,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
1,0.10,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
1,0.10,train_fraction,light,2,0.04878048780487805,79,0.15520628683693516,0.10642579903205711
1,0.10,train_fraction,dark,13,0.3170731707317073,132,0.2593320235756385,0.05774114715606882
1,0.10,train_fraction,unlabeled,17,0.4146341463414634,169,0.3320235756385069,0.08261057070295652
1,0.10,train_fraction,medium,9,0.21951219512195122,129,0.25343811394891946,0.03392591882696824
1,0.10,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
1,0.10,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
1,0.10,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
1,0.10,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
1,0.25,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
1,0.25,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
1,0.25,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
1,0.25,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
1,0.25,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
1,0.25,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
1,0.25,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
1,0.25,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
1,0.25,train_fraction,light,18,0.17647058823529413,79,0.15520628683693516,0.02126430139835897
1,0.25,train_fraction,dark,29,0.28431372549019607,132,0.2593320235756385,0.024981701914557564
1,0.25,train_fraction,unlabeled,29,0.28431372549019607,169,0.3320235756385069,0.047709850148310806
1,0.25,train_fraction,medium,26,0.2549019607843137,129,0.25343811394891946,0.0014638468353942446
1,0.25,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
1,0.25,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
1,0.25,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
1,0.25,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
1,0.50,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
1,0.50,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
1,0.50,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
1,0.50,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
1,0.50,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
1,0.50,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
1,0.50,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
1,0.50,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
1,0.50,train_fraction,light,32,0.1568627450980392,79,0.15520628683693516,0.0016564582611040546
1,0.50,train_fraction,dark,53,0.25980392156862747,132,0.2593320235756385,0.00047189799298896773
1,0.50,train_fraction,unlabeled,66,0.3235294117647059,169,0.3320235756385069,0.008494163873800975
1,0.50,train_fraction,medium,53,0.25980392156862747,129,0.25343811394891946,0.006365807619708008
1,0.50,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
1,0.50,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
1,0.50,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
1,0.50,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
1,1.00,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
1,1.00,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
1,1.00,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
1,1.00,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
1,1.00,train_pool,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
1,1.00,train_pool,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
1,1.00,train_pool,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
1,1.00,train_pool,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
1,1.00,train_fraction,light,62,0.15233415233415235,79,0.15520628683693516,0.002872134502782814
1,1.00,train_fraction,dark,108,0.26535626535626533,132,0.2593320235756385,0.006024241780626827
1,1.00,train_fraction,unlabeled,133,0.32678132678132676,169,0.3320235756385069,0.00524224885718011
1,1.00,train_fraction,medium,104,0.25552825552825553,129,0.25343811394891946,0.002090141579336069
1,1.00,val,light,17,0.16666666666666666,79,0.15520628683693516,0.011460379829731498
1,1.00,val,dark,24,0.23529411764705882,132,0.2593320235756385,0.024037905928579684
1,1.00,val,unlabeled,36,0.35294117647058826,169,0.3320235756385069,0.020917600832081384
1,1.00,val,medium,25,0.24509803921568626,129,0.25343811394891946,0.0083400747332332
2,0.05,overall,light,79,0.15520628683693516,79,0.15520628683693516,0.0
2,0.05,overall,dark,132,0.2593320235756385,132,0.2593320235756385,0.0
2,0.05,overall,unlabeled,169,0.3320235756385069,169,0.3320235756385069,0.0
2,0.05,overall,medium,129,0.25343811394891946,129,0.25343811394891946,0.0
2,0.05,train_pool,light,64,0.15724815724815724,79,0.15520628683693516,0.0020418704112220853
2,0.05,train_pool,dark,111,0.2727272727272727,132,0.2593320235756385,0.013395249151634203
