fold,label_fraction,split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
0,0.01,val,18-19,4,0.0392156862745098,20,0.03929273084479371,7.704457028390871e-05
0,0.01,val,20-21,4,0.0392156862745098,24,0.047151277013752456,0.007935590739242653
0,0.01,val,22-23,4,0.0392156862745098,22,0.043222003929273084,0.004006317654763281
0,0.01,val,24-25,3,0.029411764705882353,15,0.029469548133595286,5.7783427712933266e-05
0,0.01,val,26-27,4,0.0392156862745098,17,0.03339882121807466,0.005816865056435146
0,0.01,val,28-29,5,0.049019607843137254,21,0.0412573673870334,0.007762240456103853
0,0.01,val,30-31,2,0.0196078431372549,11,0.021611001964636542,0.0020031588273816403
0,0.01,val,32-33,3,0.029411764705882353,18,0.03536345776031434,0.005951693054431988
0,0.01,val,34-35,4,0.0392156862745098,22,0.043222003929273084,0.004006317654763281
0,0.01,val,36-37,4,0.0392156862745098,20,0.03929273084479371,7.704457028390871e-05
0,0.01,val,38-39,2,0.0196078431372549,13,0.025540275049115914,0.005932431911861012
0,0.01,val,40-41,3,0.029411764705882353,14,0.0275049115913556,0.0019068531145267527
0,0.01,val,42-43,4,0.0392156862745098,23,0.04518664047151277,0.00597095419700297
0,0.01,val,44-45,3,0.029411764705882353,12,0.023575638506876228,0.005836126199006125
0,0.01,val,46-47,4,0.0392156862745098,17,0.03339882121807466,0.005816865056435146
0,0.01,val,48-49,3,0.029411764705882353,14,0.0275049115913556,0.0019068531145267527
0,0.01,val,50,2,0.0196078431372549,10,0.019646365422396856,3.8522285141954354e-05
0,0.01,val,51-55,6,0.058823529411764705,33,0.06483300589390963,0.006009476482144921
0,0.01,val,56-60,5,0.049019607843137254,28,0.0550098231827112,0.0059902153395739455
0,0.01,val,61-65,0,0.0,2,0.003929273084479371,0.003929273084479371
0,0.01,val,66-67,1,0.00980392156862745,1,0.0019646365422396855,0.007839285026387765
0,0.05,overall,10-11,21,0.0412573673870334,21,0.0412573673870334,0.0
0,0.05,overall,12-13,37,0.07269155206286837,37,0.07269155206286837,0.0
0,0.05,overall,14-15,57,0.11198428290766209,57,0.11198428290766209,0.0
0,0.05,overall,16-17,37,0.07269155206286837,37,0.07269155206286837,0.0
0,0.05,overall,18-19,20,0.03929273084479371,20,0.03929273084479371,0.0
0,0.05,overall,20-21,24,0.047151277013752456,24,0.047151277013752456,0.0
0,0.05,overall,22-23,22,0.043222003929273084,22,0.043222003929273084,0.0
0,0.05,overall,24-25,15,0.029469548133595286,15,0.029469548133595286,0.0
0,0.05,overall,26-27,17,0.03339882121807466,17,0.03339882121807466,0.0
0,0.05,overall,28-29,21,0.0412573673870334,21,0.0412573673870334,0.0
