split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
fold_2,38-39,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_2,40-41,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_2,42-43,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_2,44-45,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_2,46-47,2,0.02702702702702703,11,0.02981029810298103,0.0027832710759540004
fold_2,48-50,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_2,51-55 | light,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_2,51-55,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_2,56-65,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_3,10-11,4,0.05405405405405406,22,0.05962059620596206,0.005566542151908001
fold_3,12-13,8,0.10810810810810811,39,0.10569105691056911,0.0024170511975390024
fold_3,14-15,12,0.16216216216216217,60,0.16260162601626016,0.00043946385409798783
fold_3,16-17,8,0.10810810810810811,38,0.10298102981029811,0.005127078297810006
fold_3,18-19 | light,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_3,18-19 | tan,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_3,18-19 | dark,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_3,20-21 | light,1,0.013513513513513514,6,0.016260162601626018,0.0027466490881125037
fold_3,20-21 | tan,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_3,20-21 | dark,2,0.02702702702702703,12,0.032520325203252036,0.0054932981762250074
fold_3,22-23,5,0.06756756756756757,24,0.06504065040650407,0.0025269171610634994
fold_3,24-25 | dark,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_3,24-25,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_3,26-27,2,0.02702702702702703,14,0.037940379403794036,0.010913352376767008
fold_3,28-29 | light,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_3,28-29,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_3,30-31,2,0.02702702702702703,7,0.018970189701897018,0.00805683732513001
fold_3,32-33,1,0.013513513513513514,7,0.018970189701897018,0.005456676188383504
fold_3,34-35,2,0.02702702702702703,8,0.02168021680216802,0.005346810224859007
fold_3,36-37,1,0.013513513513513514,8,0.02168021680216802,0.008166703288654507
fold_3,38-39,2,0.02702702702702703,7,0.018970189701897018,0.00805683732513001
fold_3,40-41,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_3,42-43,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_3,44-45,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_3,46-47,2,0.02702702702702703,11,0.02981029810298103,0.0027832710759540004
fold_3,48-50,1,0.013513513513513514,8,0.02168021680216802,0.008166703288654507
fold_3,51-55 | light,1,0.013513513513513514,5,0.013550135501355014,3.662198784150014e-05
fold_3,51-55,2,0.02702702702702703,7,0.018970189701897018,0.00805683732513001
fold_3,56-65,2,0.02702702702702703,9,0.024390243902439025,0.0026367831245880033
fold_4,10-11,4,0.0547945205479452,22,0.05962059620596206,0.004826075658016855
fold_4,12-13,8,0.1095890410958904,39,0.10569105691056911,0.003897984185321293
fold_4,14-15,12,0.1643835616438356,60,0.16260162601626016,0.0017819356275754483
fold_4,16-17,7,0.0958904109589041,38,0.10298102981029811,0.007090618851394004
fold_4,18-19 | light,2,0.0273972602739726,6,0.016260162601626018,0.011137097672346583
fold_4,18-19 | tan,2,0.0273972602739726,6,0.016260162601626018,0.011137097672346583
fold_4,18-19 | dark,1,0.0136986301369863,9,0.024390243902439025,0.010691613765452725
fold_4,20-21 | light,1,0.0136986301369863,6,0.016260162601626018,0.0025615324646397174
fold_4,20-21 | tan,2,0.0273972602739726,8,0.02168021680216802,0.0057170434718045796
fold_4,20-21 | dark,2,0.0273972602739726,12,0.032520325203252036,0.005123064929279435
fold_4,22-23,5,0.0684931506849315,24,0.06504065040650407,0.003452500278427431
fold_4,24-25 | dark,1,0.0136986301369863,9,0.024390243902439025,0.010691613765452725
fold_4,24-25,1,0.0136986301369863,5,0.013550135501355014,0.0001484946356312862
fold_4,26-27,3,0.0410958904109589,14,0.037940379403794036,0.0031555110071648657
fold_4,28-29 | light,1,0.0136986301369863,7,0.018970189701897018,0.0052715595649107175
fold_4,28-29,2,0.0273972602739726,8,0.02168021680216802,0.0057170434718045796
fold_4,30-31,2,0.0273972602739726,7,0.018970189701897018,0.008427070572075583
fold_4,32-33,1,0.0136986301369863,7,0.018970189701897018,0.0052715595649107175
fold_4,34-35,2,0.0273972602739726,8,0.02168021680216802,0.0057170434718045796
